Geo_TRACT_2017,Pct_unemployed_2017_c,Pct_vacant_2017_c,Pct_fam_blw_pov_2017_c,Pct_car_access_2017_c,Gini_Index_2017_c,Pct_unemployed_2009_c,Pct_vacant_2009_c,Pct_fam_blw_pov_2009_c,Pct_car_access_2009_c,Gini_Index_2009_c,FCI_13_17_cens,FCI_05_09_cens,FCI_cens,BMI_15_m_c,BMI_08_m_c,FCI,FCI_13_17,FCI_05_09,life_expectancy,Pct_Bach_2017,Median_Household_Income_2017,Pct_Own_2017,NUMLIVHH_15_m,PARTICIP_15_m,GROCERY_15_m,FINDFRUT_15_m,MAINEMPL_15_m,NPOV200_15_m,BELONG_15_m,ORIGIN_15_m,INSUREDA_15_m,job_density_13,FCI_17
100,-7.669920683,-5.924570575,-4.038395274,-0.746433078,-0.697,-8.608837378,-5.909592823,-2.810867845,0.110550776,-1.15,-19.07631961,-18.36874727,-0.707572342,-2.826708617,-2.46038994,-1.073891019,-21.90302823,-20.82913721,1.672644814,2.88645836,3.184843727,-1.207159754,-0.741873417,-1.424832713,0.486068909,0.111529001,0.170815685,1.24002119,0.263288633,0.350648452,-0.985065297,2.947405656,7.641489536
200,-5.543554007,-6.692671395,-1.732662846,0.886125596,1.495,-7.409311348,-6.415698698,-3.829614604,2.398098934,-0.52999994,-11.58776265,-15.78652566,4.198763004,-1.286014016,NA,NA,-12.87377667,NA,1.354330723,0.600513216,-0.535865433,-0.907247727,0.59693631,-2.033919913,2.413590626,1.810900616,1.144875983,1.81857659,0.907786112,1.886426211,0.770008409,4.770354849,14.37424728
300,-7.143972246,-8.488673139,-3.92467482,0.279088105,0.045,-8.779193206,-5.771498771,-4.04368653,0.543143413,0.59000025,-19.2332321,-17.46123484,-1.771997256,NA,NA,NA,NA,NA,0.876859587,2.785835912,1.978882153,-1.605806177,-1.485656598,NA,NA,NA,-0.370328924,0.918601523,NA,0.094685493,0.770008409,5.686282286,NA
500,-5.062378168,-9.387161484,-4.235294118,2.370207927,0.772,-4.811836115,-0.333333333,-4.235294118,2.735253772,-0.80000004,-15.54262584,-7.445209834,-8.097416009,NA,NA,NA,NA,NA,NA,0.83998067,5.83E-04,-2.650703003,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.624202407,NA
600,-6.614035088,-2.817805383,-3.719298246,1.120158326,-0.201,1.38961039,-6.927423536,-2.672151378,1.463850948,0.97000012,-12.23198039,-5.776113456,-6.455866934,-3.127317609,NA,NA,-15.359298,NA,1.64611864,2.894618904,1.666358034,-2.586676952,-1.277397307,1.163787888,-0.284939778,0.819600507,1.144875983,1.81857659,-0.220084476,1.214523441,0.770008409,10.38288797,21.13564625
700,-7.894927536,-4.301250295,-3.717351091,1.309338488,1.013,-6.801324503,-0.851754769,-4.235294118,1.867348129,-0.24999996,-13.59119043,-10.27102522,-3.320165214,NA,-2.617489393,NA,NA,-12.88851461,1.168647503,2.934343165,0.457240602,-1.503313251,-2.526953053,1.28222151,1.514080492,0.929744964,0.387273529,0.46861399,-0.220084476,0.990555852,-0.595048918,5.931622901,13.43091128
1300,-7.722409764,-7.074708855,-4.235294118,-0.552854938,-0.26,-7.253164557,-2.122324159,-2.769139817,0.320576816,-0.54999998,-19.84526767,-12.3740517,-7.471215979,-1.410938869,-2.788753964,-6.093400884,-21.25620654,-15.16280566,1.540013943,2.35876658,2.874392111,0.450654941,-0.777575009,-0.470596099,0.614570357,-0.30387295,-0.218808434,0.19862147,0.907786112,0.273859564,-0.049025987,-0.209494891,6.414822659
1400,-7.864864865,-5.969128247,-3.945018356,0.393134264,-0.175,-7.523644752,-3.770604597,-3.91617913,1.234773531,-0.1700001,-17.5608772,-14.14565505,-3.415222156,NA,NA,NA,NA,NA,1.540013943,2.037182079,2.144729542,-0.058627956,-0.936609377,-0.289715658,0.696344005,NA,-0.094837123,0.345890118,1.625521941,-0.068200027,0.770008409,-0.104147217,NA
1500,-7.795061728,-8.45320197,-3.441356911,-0.090249695,0.05,-7.691483362,-5.026375625,-3.981239007,-0.172053157,-0.4399999,-19.7298703,-17.31115105,-2.418719254,-1.068969274,-1.479041424,-2.008647104,-20.79883958,-18.79019248,1.64611864,2.286980115,0.941311496,-0.322445369,-1.90217518,0.808487021,1.813917203,1.37032279,1.144875983,1.368589057,0.53182925,-0.801184866,0.770008409,-0.014493087,11.82095127
1600,-8.70749543,-3.66404818,-4.235294118,-0.52345984,-0.277,-8.52765693,-6.348370927,-3.79198636,-0.128542718,-0.48999985,-17.40729757,-19.28655678,1.879259217,NA,NA,NA,NA,NA,0.399388451,2.939961009,2.504779938,-0.066385982,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.448167834,NA
