Geo_FIPS_2017,Geo_GEOID_2017,Geo_TRACT_2017,Total_Population_2017,Total_Population_White_2017,Population_Black_2017,Population_Latino_2017,Population_American_Indian_2017,Population_Asian_2017,Population_Pacific_Islander_2017,Population_Other_2017,Population_Multiple_Races_2017,Households_2017,Households_Family_2017,Households_Married_2017,Households_Other_Family_2017,Households_Other_Family_Male Householder_2017,Households_Other_Family_Female Householder_2017,Households_Nonfamily_2017,Households_Nonfamily_Male_Householder_2017,Households_Nonfamily_Female_Householder_2017,Occupied_Housing_Units_2017,Occupied_Housing_Units_Family_2017,Occupied_Housing_Units_Married_2017,Occupied_Housing_Units_Other_Family_2017,Occupied_Housing_Units_Nonfamily_Households_2017,Occupied_Housing_Units_Householder Living_Alone_2017,Renter_Housing_Units_2017,Householder_Black_2017,Householder_American_Indian_2017,Householder_Asian_2017,Householder_Pacific_Islander_2017,Householder_Other_Race_2017,Householder_Multiple_Races_2017,Householder_Latino_2017,Householder_White_2017,Renter_Black_2017,Renter_American_Indian_2017,Renter_Asian_2017,Renter_Pacific_Islander_2017,Renter_Other_Race_2017,Renter_Multiple_Races_2017,Renter_White_2017,Renter_Latino_2017,Population_15_and_Over_2017,Population_Never_Married_2017,Population_Married_2017,Population_Separated_2017,Population_Widowed_2017,Population_Divorced_2017,Population_25_Years_and_Over_2017,Population_25_Years_and_Over_No_Diploma_2017,Population_25_Years_and_Over_Diploma_2017,Population_25_Years_and_Some_College_2017,Population_25_Years_and_Bachelors_2017,Population_25_Years_and_Over_Masters_2017,Population_25_Years_and_Professional_2017,Population_25_Years_and_Over_Doctorate_2017,Population_3_Years_and_Over_2017,Population_3_Years_and_Over_Enrolled_In_school_2017,Population_3_Years_and_Over_Not_enrolled_in_school_2017,Civilian_Population_16_to_19_2017,Civilian_Population_16_to_19_HS_Dropout_2017,Civilian_Population_16_to_19_Enrolled_or_Graduated_2017,Population_16_Years_and_Over_2017,Population_16_Years_and_Over_in_labor_force_2017,Population_16_Years_and_Over__armed_forces_2017,Population_16_Years_and_Over_in_labor_force_civilian_2017,Population_16_Years_and_Over_in_labor_force_civilian__employed_2017,Population_16_Years_and_Over_in_labor_force_civilian_unemployed_2017,Population_16_Years_and_Over_not_in_labor_force_2017,Median_Household_Income_2017,Median_Household_Income_black_2017,Median_Household_Income_american_indian_2017,Median_Household_Income_asian_2017,Median_Household_Income_pacific_islander_2017,Median_Household_Income_other_race_2017,Median_Household_Income_multiple_races_2017,Median_Household_Income_latino_2017,Median_Household_Income_white_2017,Gini_Index_2017,Occupied_Housing_Units_2017,Owner_Occupied_Housing_Units_2017,Renter_Occupied_Housing_Units_2017,Housing_Units_2017,Vacant_Housing_Units_2017,Vacant_Housing_Rent_2017,Vacant_Housing_for_Sale_2017,Vacant_Housing_Other_Vacant_2017,Renter_Occupied_Housing_2017,Renter_Occupied_Housing_1_1.5_Occupants_per_room_2017,Renter_Occupied_Housing_1.51_2_Occupants_per_room_2017,Renter_Occupied_Housing_2_or_more_Occupants_per_room_2017,Occupied_Housing_2017,Occupied_Housing_1_1.5_Occupants_per_room_2017,Occupied_Housing_1.51_2_Occupants_per_room_2017,Occupied_Housing_2_or_more_Occupants_per_room_2017,Median_Gross_Rent_as_Percentage_Household_Income_2017,Families_2017,Families_below_poverty_line_2017,Families_below_poverty_line_married_with_children_2017,Families_below_poverty_line_married_no_children_2017,Families_below_poverty_line_male_householder_2017,Families_below_poverty_line_male_householder_with_children_2017,Families_below_poverty_line_male_householder_no_children_2017,Families_below_poverty_line_female_householder_2017,Families_below_poverty_line_female_householder_with_children_2017,Families_below_poverty_line_female_householder_no_children_2017,Families_at_or_above_poverty_line_2017,Population_Poverty_Status_Is_Determined_2017,Population_Poverty_Status_Is_Determined_under.5_2017,Population_Poverty_Status_Is_Determined_.5_.74_2017,Population_Poverty_Status_Is_Determined_.74_.99_2017,Population_Poverty_Status_Is_Determined_1_1.49_2017,Population_Poverty_Status_Is_Determined_1.5_1.9_2017,Population_Poverty_Status_Is_Determined_2_above_2017,Housing_units_No_Vehicle_Available_2017,Renter_units_No_Vehicle_Available_2017,Same_house_year_ago_2009,Same_house_year_ago_2017
42101000100,14000US42101000100,100,4155,2990,550,265,0,492,0,33,90,2367,717,580,137,29,108,1650,709,941,2367,717,580,137,1650,1187,1654,244,0,177,0,33,29,179,1738,187,0,113,0,33,13,1178,163,3957,2234,1251,80,94,298,3579,75,3504,3266,2903,1211,608,261,4056,560,3496,16,0,16,3927,3278,0,3278,3169,109,649,109738,50804,,,,,,,114320,0.4203,2367,713,1654,2678,311,83,0,228,1654,13,12,0,2367,27,12,0,24.10000038,717,12,0,12,0,0,0,0,0,0,705,4155,167,87,38,42,343,3478,630,533,2239,2567
42101000200,14000US42101000200,200,2683,698,142,118,16,1626,0,52,149,1010,503,414,89,47,42,507,238,269,1010,503,414,89,507,368,652,35,16,562,0,14,59,66,272,0,0,395,0,14,27,164,66,2420,1220,918,10,86,186,2021,532,1489,1020,744,219,130,70,2635,694,1941,27,0,27,2355,1435,0,1435,1311,124,920,30746,,,30149,,,,,77900,0.6395,1010,358,652,1128,118,33,76,9,652,118,11,0,1010,118,11,0,39.70000076,503,107,27,39,9,0,9,32,0,32,396,2558,486,266,210,613,18,965,487,360,1357,2298
42101000300,14000US42101000300,300,3534,2603,170,297,0,540,18,0,203,1805,606,525,81,24,57,1199,537,662,1805,606,525,81,1199,921,1389,87,0,289,18,0,98,121,1207,79,0,285,15,0,73,831,121,3287,1691,1124,48,134,290,2745,106,2639,2401,2173,1149,666,218,3452,682,2770,132,0,132,3260,2306,12,2294,2187,107,954,84135,24095,,124583,,,,72969,93036,0.4945,1805,416,1389,1957,152,102,0,50,1389,0,47,0,1805,0,47,0,25.20000076,606,16,0,16,0,0,0,0,0,0,590,3315,106,109,65,242,196,2597,722,644,3137,2397
42101000401,14000US42101000401,401,2632,1575,310,137,0,667,0,9,71,1690,489,479,10,0,10,1201,599,602,1690,489,479,10,1201,1026,1199,221,0,342,0,9,36,63,1039,209,0,254,0,9,36,669,42,2564,1201,1021,29,116,197,2417,267,2150,1983,1827,955,328,146,2564,477,2087,6,0,6,2564,1734,0,1734,1642,92,830,59221,35905,,52027,,,52813,54479,80163,0.5223,1690,491,1199,1986,296,200,9,87,1199,10,67,0,1690,10,67,0,28,489,92,10,82,0,0,0,0,0,0,397,2632,209,109,168,140,100,1906,901,796,3522,1866
42101000402,14000US42101000402,402,3299,2807,193,29,0,263,0,0,36,2483,521,476,45,0,45,1962,743,1219,2483,521,476,45,1962,1741,990,167,0,263,0,0,19,15,2019,84,0,209,0,0,19,663,15,3254,1513,1074,16,290,361,3163,55,3108,2733,2230,1203,367,99,3299,319,2980,0,0,0,3239,1904,0,1904,1891,13,1335,72866,77630,,,,,,,72703,0.4913,2483,1493,990,3023,540,175,93,272,990,0,0,0,2483,0,0,0,24.79999924,521,0,0,0,0,0,0,0,0,0,521,3299,124,17,0,245,159,2754,1080,541,823,2706
42101000500,14000US42101000500,500,2514,1096,877,312,19,422,0,36,64,933,160,132,28,0,28,773,425,348,933,160,132,28,773,623,891,125,0,230,0,0,37,40,506,125,0,223,0,0,37,471,40,2479,1694,451,55,70,209,2077,373,1704,1213,861,495,285,75,2479,429,2050,23,19,4,2479,1026,0,1026,925,101,1453,42135,14417,,42222,,,61417,,60833,0.5672,933,42,891,997,64,24,0,40,891,11,10,0,933,11,10,0,30.29999924,160,0,0,0,0,0,0,0,0,0,160,1539,349,94,93,112,39,852,651,644,610,1413
42101000600,14000US42101000600,600,1207,971,86,132,0,126,0,22,2,674,114,92,22,6,16,560,262,298,674,114,92,22,560,448,636,5,0,108,0,0,2,40,519,2,0,101,0,0,2,491,40,1111,745,239,14,20,93,929,15,914,860,755,542,271,43,1180,348,832,63,0,63,1111,855,0,855,804,51,256,77500,,,84688,,,,87361,64911,0.4699,674,38,636,805,131,82,5,44,636,14,19,0,674,14,19,0,29,114,5,0,5,0,0,0,0,0,0,109,1024,106,17,19,29,19,834,358,351,1675,677
42101000700,14000US42101000700,700,3451,2220,539,293,0,614,8,0,70,2429,318,318,0,0,0,2111,901,1210,2429,318,318,0,2111,1765,1825,317,0,384,8,0,36,152,1532,297,0,309,8,0,22,1130,59,3383,2207,731,54,104,287,2951,65,2886,2703,2421,1463,777,221,3414,1081,2333,29,0,29,3383,2208,0,2208,2147,61,1175,51830,50213,,48654,,,,,62333,0.5913,2429,604,1825,2826,397,93,36,268,1825,0,8,0,2429,0,8,0,29.39999962,318,14,14,0,0,0,0,0,0,0,304,3434,495,29,116,276,154,2364,1333,1078,5527,2062
42101000801,14000US42101000801,801,1407,1174,134,132,0,83,0,6,10,797,173,164,9,9,0,624,380,244,797,173,164,9,624,419,574,23,0,52,0,6,6,79,631,23,0,52,0,0,6,414,79,1268,832,339,7,27,63,1128,17,1111,1087,1044,528,329,114,1335,507,828,4,0,4,1268,895,0,895,878,17,373,94821,,,83043,,,,,98977,0.4572,797,223,574,997,200,20,39,141,574,8,36,0,797,8,36,0,26.10000038,173,0,0,0,0,0,0,0,0,0,173,1407,127,61,7,46,22,1144,288,216,2934,866
42101000803,14000US42101000803,803,3003,2493,66,76,9,331,0,0,104,1837,483,420,63,0,63,1354,446,908,1837,483,420,63,1354,1117,1186,41,9,158,0,0,11,76,1542,41,9,158,0,0,11,935,32,2793,1442,909,33,163,246,2511,1,2510,2477,2334,1063,546,143,2955,951,2004,17,0,17,2778,1928,0,1928,1879,49,850,56307,,,70366,,,,100703,56477,0.5279,1837,651,1186,2138,301,52,0,249,1186,0,0,0,1837,0,0,0,34.90000153,483,10,0,0,0,0,0,10,0,10,473,3003,241,34,47,85,123,2473,1159,841,5019,2220
