TRACTCE,GEOID,NAME,centx,centy
100102.00,42017100102.00,1001.02,-74.94,40.07
100103.00,42017100103.00,1001.03,-74.97,40.07
100104.00,42017100104.00,1001.04,-74.96,40.09
100105.00,42017100105.00,1001.05,-74.95,40.08
100206.00,42017100206.00,1002.06,-74.94,40.13
100207.00,42017100207.00,1002.07,-74.95,40.12
100209.00,42017100209.00,1002.09,-74.93,40.10
100210.00,42017100210.00,1002.10,-74.92,40.12
100211.00,42017100211.00,1002.11,-74.93,40.15
100212.00,42017100212.00,1002.12,-74.91,40.13
100302.00,42017100302.00,1003.02,-74.89,40.09
100304.00,42017100304.00,1003.04,-74.89,40.12
100306.00,42017100306.00,1003.06,-74.88,40.11
100307.00,42017100307.00,1003.07,-74.90,40.10
100401.00,42017100401.00,1004.01,-74.87,40.14
100402.00,42017100402.00,1004.02,-74.86,40.14
100811.00,42017100811.00,1008.11,-74.89,40.15
101403.00,42017101403.00,1014.03,-74.96,40.16
101404.00,42017101404.00,1014.04,-75.00,40.16
201411.00,42091201411.00,2014.11,-75.21,40.14
801.00,42101000801.00,8.01,-75.18,39.95
36501.00,42101036501.00,365.01,-75.01,40.13
745100.00,42125745100.00,7451.00,-80.18,40.25
751100.00,42125751100.00,7511.00,-80.30,40.21
755200.00,42125755200.00,7552.00,-80.18,40.17
771100.00,42125771100.00,7711.00,-80.03,40.22
775200.00,42125775200.00,7752.00,-79.86,40.18
775300.00,42125775300.00,7753.00,-79.86,40.17
782700.00,42125782700.00,7827.00,-79.91,40.15
783200.00,42125783200.00,7832.00,-79.90,40.14
783300.00,42125783300.00,7833.00,-79.90,40.14
791000.00,42125791000.00,7910.00,-79.88,40.10
792100.00,42125792100.00,7921.00,-79.92,40.07
795800.00,42125795800.00,7958.00,-80.20,40.29
,,,,
101401.00,42017101401.00,1014.01,-75.01,40.14
912402.00,42019912402.00,9124.02,-79.99,40.71
912001.00,42019912001.00,9120.01,-80.13,40.73
912800.00,42019912800.00,9128.00,-79.92,40.71
910302.00,42019910302.00,9103.02,-80.07,41.01
912304.00,42019912304.00,9123.04,-80.08,40.69
910301.00,42019910301.00,9103.01,-80.01,41.09
912303.00,42019912303.00,9123.03,-80.06,40.69
10900.00,42081010900.00,109.00,-76.87,41.26
11000.00,42081011000.00,110.00,-76.92,41.25
11100.00,42081011100.00,111.00,-76.96,41.25
774700.00,42125774700.00,7747.00,-79.93,40.18
745200.00,42125745200.00,7452.00,-80.14,40.22
722700.00,42125722700.00,7227.00,-80.31,40.30
781700.00,42125781700.00,7817.00,-79.96,40.14
752700.00,42125752700.00,7527.00,-80.26,40.15
751200.00,42125751200.00,7512.00,-80.30,40.17
755700.00,42125755700.00,7557.00,-80.19,40.08
714000.00,42125714000.00,7140.00,-80.31,40.41
792200.00,42125792200.00,7922.00,-79.89,40.05
755100.00,42125755100.00,7551.00,-80.23,40.20
773100.00,42125773100.00,7731.00,-79.92,40.19
784000.00,42125784000.00,7840.00,-79.87,40.11
741100.00,42125741100.00,7411.00,-80.22,40.33
746100.00,42125746100.00,7461.00,-80.09,40.29
795700.00,42125795700.00,7957.00,-80.02,40.00
744100.00,42125744100.00,7441.00,-80.18,40.27
746200.00,42125746200.00,7462.00,-80.12,40.28
761000.00,42125761000.00,7610.00,-80.08,40.12
742100.00,42125742100.00,7421.00,-80.23,40.25
762000.00,42125762000.00,7620.00,-80.09,40.03
731000.00,42125731000.00,7310.00,-80.42,40.15
713700.00,42125713700.00,7137.00,-80.37,40.37
771200.00,42125771200.00,7712.00,-80.01,40.27
741300.00,42125741300.00,7413.00,-80.15,40.30
763700.00,42125763700.00,7637.00,-79.98,40.08
732000.00,42125732000.00,7320.00,-80.29,40.10
721000.00,42125721000.00,7210.00,-80.43,40.26
742200.00,42125742200.00,7422.00,-80.26,40.25
711000.00,42125711000.00,7110.00,-80.46,40.40
100403.00,42017100403.00,1004.03,-74.84,40.13
100404.00,42017100404.00,1004.04,-74.83,40.14
100500.00,42017100500.00,1005.00,-74.84,40.11
100600.00,42017100600.00,1006.00,-74.85,40.10
100700.00,42017100700.00,1007.00,-74.86,40.10
100804.00,42017100804.00,1008.04,-74.88,40.16
704100.00,42125704100.00,7041.00,-80.25,40.17
712700.00,42125712700.00,7127.00,-80.39,40.38
715700.00,42125715700.00,7157.00,-80.24,40.37
743700.00,42125743700.00,7437.00,-80.21,40.25
753700.00,42125753700.00,7537.00,-80.23,40.17
11900.00,42081011900.00,119.00,-77.27,41.20
950606.00,42103950606.00,9506.06,-74.89,41.33
950501.00,42103950501.00,9505.01,-75.09,41.39
950102.00,42103950102.00,9501.02,-74.91,41.42
950502.00,42103950502.00,9505.02,-75.11,41.33
950301.00,42103950301.00,9503.01,-75.20,41.39
950201.00,42103950201.00,9502.01,-75.07,41.52
950802.00,42103950802.00,9508.02,-75.04,41.14
950801.00,42103950801.00,9508.01,-74.97,41.16
950601.00,42103950601.00,9506.01,-74.84,41.35
950605.00,42103950605.00,9506.05,-74.97,41.32
950701.00,42103950701.00,9507.01,-74.94,41.22
90102.00,42119090102.00,901.02,-76.95,41.07
90600.00,42119090600.00,906.00,-76.91,40.93
26301.00,42101026301.00,263.01,-75.16,40.07
29200.00,42101029200.00,292.00,-75.10,40.02
24400.00,42101024400.00,244.00,-75.16,40.02
33200.00,42101033200.00,332.00,-75.04,40.04
980200.00,42101980200.00,9802.00,-75.05,40.07
100.00,42101000100.00,1.00,-75.15,39.95
200.00,42101000200.00,2.00,-75.16,39.96
300.00,42101000300.00,3.00,-75.17,39.96
980501.00,42119980501.00,9805.01,-76.91,40.98
980101.00,42119980101.00,9801.01,-76.93,41.13
100805.00,42017100805.00,1008.05,-74.87,40.15
