tract_id,life_expectancy,standard_error
42101000100,81.3,3.6265
42101000200,80.1,2.6072
42101000300,78.3,2.0119
42101000401,82.4,2.6093
42101000402,81.3,0.9466
42101000600,81.2,3.2936
42101000700,79.4,2.2837
42101000803,85.3,3.03
42101000804,81.5,1.5754
42101000902,78.4,1.8969
42101001002,82.9,1.3486
42101001101,77.7,1.654
42101001102,78.6,2.7756
42101001201,84.5,2.9764
42101001202,81.6,1.9751
42101001300,80.8,1.8977
42101001400,80.8,1.5971
42101001500,81.2,2.7859
42101001600,76.5,3.2576
42101001700,83.8,3.0019
42101001800,79.7,2.5981
42101001900,74.2,1.9166
42101002000,71.6,2.1159
42101002100,74.5,2.2661
42101002200,76.4,2.4164
42101002300,77.3,2.3114
42101002400,79.9,2.3025
42101002500,72.6,1.2409
42101002701,75.4,1.7087
42101002702,78.3,1.9405
42101002801,77.6,1.7841
42101002802,80.5,1.4846
42101002900,75.7,1.0452
42101003001,75.2,1.2106
42101003002,73.2,2.6974
42101003100,71,1.4384
42101003200,71.4,1.6797
42101003300,70.3,1.4414
42101003600,74.9,1.6894
42101003701,69,1.4441
42101003702,75.6,1.9996
42101003800,80.4,1.5365
42101003901,78.1,1.5162
42101003902,77.9,1.2898
42101004001,76.7,1.4755
42101004002,76.7,1.654
42101004101,75.7,1.58
42101004102,74.4,1.2258
42101004201,73.9,1.8384
42101004202,75.9,1.3491
42101005400,78,1.5162
42101005500,78.6,2.5639
42101005600,68.7,2.0812
42101006000,79.1,2.4209
42101006100,74.1,2.5965
42101006200,75.2,3.2728
42101006300,74.3,2.1934
42101006400,71.6,2.5776
42101006500,74.3,1.7298
42101006600,71.5,1.7132
42101006700,72.7,1.7981
42101006900,71.3,2.5898
42101007000,68.9,1.9488
42101007101,71.7,1.7172
42101007102,73.7,2.109
42101007200,73.8,1.959
42101007300,73.1,1.5147
42101007400,73.6,1.7627
42101007700,75.7,3.2135
42101007800,76.6,2.0744
42101007900,78.4,1.9072
42101008000,72.2,1.2722
42101008101,72.5,1.8365
42101008102,73.6,1.6663
42101008200,74.2,1.705
42101008301,73,1.4457
42101008302,71.6,1.4782
42101008400,71.8,1.3748
42101008500,73.6,1.2194
42101008601,79.8,1.5673
42101008602,75.8,1.8274
42101008701,77.4,2.98
42101009100,75.8,1.6809
42101009200,74.1,2.0271
42101009300,71.9,1.3938
42101009400,72.9,1.5377
42101009500,70.8,1.8591
42101009600,72.7,1.3388
42101009801,79.3,2.3424
42101009802,77.6,1.113
42101010000,78,2.981
42101010100,74.1,1.5337
42101010200,70,1.9627
42101010300,71.5,1.9715
42101010400,72.8,2.1119
42101010500,75.6,1.8092
42101010600,71.6,2.8975
42101010700,65.8,1.581
42101010800,71.3,1.9347
42101010900,74.5,2.4517
42101011000,72.4,1.375
42101011100,70.8,2.0418
42101011200,72.1,1.9934
42101011300,77.1,2.423
42101011400,80.7,2.6517
42101011500,78.6,2.2496
42101011800,73.8,1.8708
42101011900,72.7,1.1208
42101012000,76,1.8839
42101012100,73.9,2.3973
42101012201,83.6,2.811
42101012204,83.1,2.2127
42101012500,80,1.4974
42101013100,73.9,2.6321
42101013200,71.8,1.7501
42101013401,87,2.4393
42101013402,76.2,1.7763
42101013500,73.8,1.4441
42101013601,81.1,2.1393
42101013602,77.5,1.2325
42101013700,73.9,1.8086
42101013800,70.6,1.9896
42101013900,64.4,1.5624
42101014000,71.7,2.3399
42101014100,70.4,1.9548
42101014200,74.4,1.6271
42101014300,75,1.9643
42101014400,74.4,2.0966
42101014500,71.1,2.2071
42101014600,78,2.0442
42101014700,69.3,2.9868
