Census Tract,2019 Total Crime Index,Low_Response_Score,pct_Mobile_Homes_ACS_13_17,pct_Crowd_Occp_U_ACS_13_17,pct_PUB_ASST_INC_ACS_13_17,pct_Sngl_Prns_HHD_ACSMOE_13_17,avg_job_growth_04_13,job_density_13,Incarceration_rate
42101000100,81,24.5,0,1.65,0,8.22,0.0348,59761,0.0319
42101000200,443,25.3,0,12.77,2.48,11.59,0.1257,93331,0.0025
42101000300,338,22.8,0,2.6,2.11,6.86,0.0213,110198,0.0069
42101000401,361,21,0,4.56,2.72,7.31,-0.028,133807,0.0642
42101000402,403,16.5,1.89,0,0.97,6.12,0.0225,521752,0.0067
42101000500,412,31.1,0,2.25,2.47,5.75,-0.0333,127470,0.0016
42101000600,459,29.1,0,4.9,0,7.76,-0.0221,196687,0.0231
42101000700,463,23.6,0,0.33,2.1,7.59,-0.0115,114716,0.0096
42101000801,370,24.5,0,5.52,2.01,11.58,-0.0722,4897,0
42101000803,153,19.6,0,0,0.76,8,0.0081,26661,0
42101000804,199,21.1,0,2.04,0,6.84,-0.0217,166893,0.0416
42101000901,385,26.7,1.38,4.9,4.26,7.2,0.0122,48561,0.0038
42101000902,327,21.4,0,0.99,5.93,6.55,0.2167,145317,0.0054
42101001001,280,14.1,0,0.21,0,7.49,0.0239,68270,0.0011
42101001002,229,17.4,0,0.47,0.77,6.9,0.024,33176,0.001
42101001101,257,22.1,0.74,0,2.15,8.95,-0.0533,8896,0.0035
42101001102,182,24.3,0,3.89,1.21,7.48,0.0514,43051,0.0022
42101001201,279,18.5,0,1.57,1.09,5.87,0.0354,4786,0.0004
42101001202,98,21.9,0,2.86,0,7.12,0.0343,42773,0.0059
42101001300,228,20.9,0.73,1.68,2.19,7.35,-0.0454,1626,0.0628
42101001400,127,21.3,0,1.85,1.15,7.31,0.1108,3566,0.0449
42101001500,138,22.1,0,0.6,2.34,6.55,0.006,5217,0.0238
42101001600,182,20.9,0,0.65,0,8.21,-0.0037,13737,0.0331
42101001700,211,18,0.83,0,0.52,6.98,0.0509,2581,0.0108
42101001800,174,21.1,0,0.2,2.56,6.03,0.0296,6074,0.0861
42101001900,179,24.4,0,0.27,3.6,7.38,0.0551,4835,0.0743
42101002000,198,25.9,0,0,6.21,8.53,0.0142,1420,0.1028
42101002100,194,25,0,1.25,6.8,6.6,-0.1602,1348,0.0657
42101002200,221,27.5,0,3.29,13.92,11.35,-0.1066,3398,0.0567
42101002300,202,22,2.11,2.88,3.45,8,0.0601,3939,0.0084
42101002400,145,24,0,6.63,3.43,5.74,0.0008,7077,0.0151
42101002500,180,21.5,0,0.53,6.85,7.37,0.0316,2578,0.0361
42101002701,149,27.2,0,7.81,14.06,7.08,0.0291,1161,0.0506
42101002702,92,20.3,0,0.9,2.08,6.27,0.005,3232,0.0033
42101002801,65,26,2.1,6.47,2.03,7.68,0.0369,2756,0.032
42101002802,91,20.2,0,3.14,5.34,6.74,0.0268,4321,0.0163
42101002900,112,19.6,2.31,2.92,0.73,7.55,-0.0135,5000,0.0105
42101003001,152,23.5,0,2.77,4.84,7.94,0.0849,2632,0.0417
42101003002,77,24.5,0.76,2.51,7.87,7.3,0.1001,2307,0.0763
42101003100,218,25.8,0,3.12,8.06,6.53,0.0381,594.8,0.0654
42101003200,114,28.8,0,3.37,8.12,8.98,0.1278,1274,0.0662
42101003300,169,26.9,0,1.18,8.84,8.88,0.0044,3529,0.0446
42101003600,156,26.6,0,1.52,11.04,7.46,0.039,1051,0.0472
42101003701,229,27.6,0,0.77,9.06,9.07,0.0987,1328,0.0386
42101003702,142,26.7,0.52,2.71,9.54,7.33,0.2089,8729,0.0195
42101003800,154,15.9,0,1.51,5.18,5.77,0.031,4454,0.0166
42101003901,107,19.2,0,2.81,4.56,8.46,-0.0323,7556,0.017
42101003902,128,14.8,0.47,0.48,5.17,6.92,0.0574,3560,0.0015
42101004001,76,21,0,1.17,3.08,7.07,0.0327,7459,0.0134
42101004002,126,17,0,6.04,3.6,9.63,0.0958,10586,0.008
42101004101,89,26.3,0.7,11.62,13.27,8.66,-0.1234,2785,0.0644
42101004102,115,26.3,0,11.44,9.05,6.5,0.0604,1179,0.0305
42101004201,85,17.6,0,0.2,4.84,7.21,0.0488,1086,0.0272
42101004202,108,17.6,0,5.76,3.41,6.53,0.1791,9589,0.0118
42101005000,68,,,,,,0.1559,3317,0.0271
42101005400,290,25.5,0,5.67,2.6,11.25,0.0082,119.2,0.0367
42101005500,265,24.8,0.53,0,4.67,7.56,-0.2818,829.3,0.0188
42101005600,145,32.5,0,0,21.93,15.23,0.0229,1370,0.0399
42101006000,397,25.7,0,1.13,8.76,7.65,0.0848,1354,0.0185
42101006100,126,24,0.86,0.72,9.67,8.68,-0.0334,815.5,0.018
42101006200,151,28.5,0,2.54,6.71,7.61,0.1974,1284,0.025
42101006300,129,31.8,4.21,4.69,12.91,9.42,0.0663,1177,0.0581
42101006400,186,28.8,0,7.25,9.61,10.18,-0.0076,1181,0.0435
42101006500,140,29.5,0,2,12.03,7.36,0.0811,282.1,0.0534
42101006600,143,28.5,0.9,6.24,12.25,7.62,-0.0557,2143,0.0475
42101006700,211,28.6,0,5.55,9.35,6.65,0.0859,814,0.0421
42101006900,133,33.4,0.7,5.87,19.43,11.85,0.0238,1540,0.0774
42101007000,275,26,0,3.25,11.76,9.71,0.0697,2077,0.0589
42101007101,143,28.7,0,5.64,9.47,8.34,0.0108,3765,0.0599
42101007102,192,28.5,0.41,3.23,5.86,8.93,0.2583,540.4,0.0578
42101007200,109,27.8,0,0.67,5.05,9.11,-0.0662,2521,0.0634
42101007300,93,28.3,0,0,11.28,13.3,0.0866,510.1,0.0646
42101007400,158,28.4,0,3.2,6.06,8.03,0.0854,969.3,0.0769
42101007700,207,33.7,0,0,1.08,9.04,0.1658,30532,0.0739
42101007800,189,25.3,0,4,8.79,7.84,0.0232,2467,0.0225
42101007900,163,24.7,0,0.58,2.57,8.61,0.1449,1459,0.0361
42101008000,125,27.2,0.47,1.12,13.09,7.93,0.0027,6301,0.0559
42101008101,159,30.7,0,1.93,7,9.39,0.0691,1436,0.0511
42101008102,134,28.9,0,2.4,12.17,7.68,0.2574,392.9,0.0411
42101008200,129,26.7,0,0,4.51,9.2,0.0376,308.4,0.0378
42101008301,65,27.6,0,0,7.65,6.46,-0.0128,2518,0.0808
42101008302,90,30.7,0,2.92,6.34,7.96,-0.0685,1207,0.0597
42101008400,146,29.9,0,3.05,8.73,9.01,0.1119,3562,0.0464
42101008500,153,30,0,2.02,6.3,6.72,0.045,2588,0.0779
42101008601,182,26.4,0,1.52,2.75,7.84,0.0923,3309,0.0594
42101008602,143,27.3,0,0.66,6.47,10.89,-0.021,3629,0.0647
42101008701,198,29.4,0,8.37,1.91,8.31,0.09,4300,0.0387
42101008702,177,29.6,0,3.42,0.72,8.23,-0.0118,5963,0.0331
42101008801,271,37.2,2.87,0,2.31,18.53,0.0441,16099,
42101008802,312,35.6,0,3.28,0.99,8.95,-0.0587,10351,0.0289
42101009000,282,33.9,0,1.78,0,8.1,-0.0789,5381,0.0231
42101009100,161,27.9,0,6.47,6.79,7.11,-0.0296,21665,0.0295
42101009200,325,32,0,1.55,12.02,7.3,0.0644,1328,0.0471
42101009300,234,29.6,0,0,10.69,6.57,0.0628,703.2,0.0514
42101009400,143,29.1,0,2.21,12.71,6.09,-0.1046,993,0.0945
42101009500,168,30.4,0,2.27,17.62,11.8,0.1937,1000,0.0469
42101009600,143,31.8,0,0,14.31,9.2,0.059,859,0.0667
42101009801,152,26,0.58,0,1.74,8.37,0.1308,5443,0.0128
42101009802,193,25.9,0,2.13,3.19,8.84,0.0179,1691,0.0198
42101010000,174,27.9,0,3.8,6.33,8.31,0.1771,3073,0.0272
42101010100,183,30.7,2.79,2.11,9.5,9.43,0.0525,724.1,0.0754
42101010200,140,30.5,0,1.08,18.24,9.79,0.0432,1727,0.0788
42101010300,136,34.1,1.22,1.76,11.53,12.03,0.0867,678.9,0.0592
42101010400,176,29.7,3.48,3.71,26.73,9.26,-0.0247,3742,0.081
42101010500,195,28.6,0,5.74,13.74,6.69,0.0569,4067,0.0718
42101010600,178,29.9,0,3,8.85,10.69,0.012,1539,0.0755
42101010700,178,34.4,0,3.3,19.07,9.73,-0.0115,1275,0.0774
42101010800,215,30.8,1.37,5.82,9.39,9.88,0.0461,477.9,0.0972
42101010900,230,33,0,2.8,10.66,6.3,0.0943,2250,0.0591
42101011000,239,31,0,6.65,14.96,9.22,0.1298,1033,0.0354
42101011100,196,28.6,1.13,0,8.71,7.86,0.0926,4247,0.0893
42101011200,217,30.3,0,2.49,7,11.15,0.117,1381,0.0506
42101011300,108,30.4,0,0,9.98,10.06,0.3398,2481,0.0554
42101011400,118,27.4,0.35,0,7.95,8.02,0.0354,1691,0.0504
42101011500,106,25.1,0,1.37,0.54,6.44,-0.0977,881.1,0.0486
42101011700,101,22.9,0,0,3.04,9.33,0.0068,5688,0.0304
42101011800,65,25.5,0,0,7.13,8.14,0.1091,453.3,0.046
42101011900,107,27.6,0,1.18,4.03,7.87,-0.1491,876.4,0.0558
42101012000,134,25.9,0,0,5.42,7.79,-0.0132,1728,0.049
42101012100,131,25.2,0,0.58,4.95,8.63,-0.0213,3354,0.0302
42101012201,131,27.5,0,4.38,10.41,7.53,-0.0162,1932,0.0271
42101012203,123,35.5,0,3.31,2.07,10.54,-0.0123,6460,
42101012204,270,21.8,0,0,1.96,7.54,0.0588,9564,0.0219
42101012500,144,23.1,0,2.26,0,6.97,0.0182,33856,0.0154
42101013100,288,28.9,0,0,16.64,9.4,-0.1935,1274,0.0855
42101013200,239,27.7,0,1.9,12.8,9.86,0.1072,3424,0.0547
42101013300,250,31.7,0.46,2.99,11.04,6.66,0.0093,33630,0.0734
42101013401,312,12.9,0,2.24,0,7.99,-0.0235,8508,0.0073
42101013402,133,23,0,1.13,0.46,8.26,-0.0818,6043,0.0235
42101013500,243,23.9,0.48,2.85,10.66,7.56,0.0758,2141,0.05
42101013601,201,16.1,0,3.75,0,6.38,0.0375,7800,0.0184
42101013602,183,19.8,0,1.71,3.48,6.57,0.0697,1088,0.0224
42101013700,163,26.7,0,0,8.19,11.12,0.0943,1224,0.0644
42101013800,232,28.3,0,0,7.23,8.6,0.1525,1250,0.0718
42101013900,207,29.7,0,0.61,12.03,9.4,0.0064,3539,0.0973
42101014000,155,31.3,0,0.39,6.49,9.41,0.0304,3335,0.0558
42101014100,274,28.1,2.11,4.03,8.63,7.47,0.0696,4452,0.0997
42101014200,294,26,0,0.47,0.75,9.85,0.1508,10479,0.0256
42101014300,234,22.7,0,0.95,4.34,7.79,0.0018,4150,0.0008
42101014400,207,29.4,0,2.56,9.29,7.43,0.041,4294,0.035
42101014500,225,32,0,3.66,25.64,7.95,-0.1314,4548,0.0613
42101014600,195,25.6,0,2.32,8.99,7.46,0.1001,2552,0.0661
42101014700,133,35.7,0.88,2.77,8.84,11.98,0.0546,6415,0.0804
42101014800,228,31.1,0,0,16.4,11.31,-0.0571,445.9,0.0411
42101014900,213,28,0.77,0,8.98,8.03,0.1151,731.4,0.0735
42101015101,169,31.4,0,5.22,17.66,9.89,-0.1245,173.3,0.0447
42101015102,190,29.8,0,2.36,12.49,8.67,0.1789,1698,0.0736
42101015200,174,34.6,0,0,21,12.32,-0.0429,2221,0.0721
42101015300,300,33.5,0,1.53,5.2,8.96,0.1093,1320,0.0414
42101015600,216,30.8,0,7.78,19.46,10.29,-0.0025,2922,0.0536
42101015700,251,27.9,0,4.4,8.58,9.63,0.0434,3888,0.0761
42101015800,202,19.5,0,0.6,1.64,7.98,0.0737,2522,0.0192
42101016000,117,19.5,0,3.27,4.1,7.51,-0.0138,2640,0.0204
42101016100,94,26.4,0,4.38,6.49,6.97,0.0217,2853,0.0302
42101016200,184,30.4,0,5.12,11.95,7,0.0802,4787,0.0698
42101016300,255,32.4,0,1.9,19.08,10.06,0.0908,8430,0.0589
42101016400,242,32.6,0,4.05,13.02,8.32,0.0558,1604,0.0806
42101016500,250,32.3,0,3.55,23.2,11.17,0.0157,703.9,0.0623
42101016600,210,28.9,0,5.63,6.67,10.71,0.118,3970,0.1044
42101016701,280,27.9,0,1.08,14.49,10.6,0.0283,91.84,0.0737
42101016702,121,28.5,0,0,4.85,8.81,0.133,2380,0.1065
42101016800,222,28.2,0,0,10.6,7.55,0.0801,1179,0.0811
42101016901,152,28.4,1.3,0,16.09,10.54,0,1485,0.0752
42101016902,193,29.6,0,2.94,8.71,7.95,0.1539,981.7,0.0952
42101017000,141,28.1,0.91,0,5.16,8.97,-0.014,3391,0.0913
42101017100,265,27,0,0.87,8.76,9.82,-0.0607,1511,0.0468
42101017201,221,27.1,0,3.2,9.67,8.85,-0.0164,2814,0.0656
42101017202,119,24.6,0.57,0,5.47,8.36,-0.0232,910.7,0.0864
42101017300,127,27.1,0,0.62,8.01,8.76,0.117,3180,0.0528
42101017400,170,28.8,0,2.72,9.33,11.29,0.1354,2883,0.0888
42101017500,183,31.8,0.32,1.57,13.07,9.04,0.0008,1464,0.0595
42101017601,169,31.4,0.88,4.49,14.67,7.64,0.0593,5362,0.047
42101017602,181,32.9,0.81,7.42,19.07,9.41,0.0531,2529,0.0588
42101017701,138,35.1,0.71,6.45,22.45,8.96,0.1028,4333,0.0284
42101017702,177,32.7,1.29,7.03,19.2,6.91,-0.0119,8201,0.051
42101017800,152,32.5,3.88,3.31,23.12,8.73,-0.0642,3750,0.0643
42101017900,152,27.8,0,7.84,19.86,9.12,-0.0069,1754,0.0274
42101018001,127,20.5,0,3.11,5.51,6.27,0.0432,1453,0.0069
42101018002,49,20.3,0,2.44,6.92,8.28,-0.0069,2194,0.0163
42101018300,73,16.6,0.3,0.69,2.48,6.64,0.0277,1791,0.0104
42101018400,76,17.2,0.58,1.11,2.84,8.61,-0.0311,514.1,0.0232
42101018800,111,32.1,0,3.17,22.07,7.81,0.0259,2277,0.042
42101019000,165,30.8,0.71,4.3,7.85,8.1,0.0984,2458,0.0295
42101019100,157,25.1,1.9,4.24,11.38,7.55,-0.0515,2379,0.0087
42101019200,103,34.3,0,8.37,12.16,5.78,-0.0707,1280,0.055
42101019501,148,31.9,0,4.93,15.8,9.77,0.1474,3559,0.0782
42101019502,178,33.3,2.27,8.11,19.94,13.1,0.0492,1315,0.0804
42101019700,151,29.1,0,1.99,14.33,8.53,0.1343,2144,0.0302
42101019800,123,31.7,0,5.05,15.1,6.5,-0.0908,1565,0.0666
42101019900,130,33.2,0,3.38,23.13,9.68,0.1093,2156,0.0354
42101020000,200,31.3,0,7.39,7.21,10.39,0.4242,44057,0.0587
42101020101,400,29,0,3.89,10.31,8.32,0.4233,13845,0.0657
42101020102,304,28.1,0,0,3.85,10.19,0.1193,2125,0.0361
42101020200,199,26.8,0.72,1.75,10.24,11.16,0.0233,1205,0.0514
42101020300,177,32.1,0,2.63,12.97,10.81,0.0552,2913,0.0723
42101020400,253,27.5,0,0,9.38,11.78,0.066,1268,0.0699
42101020500,184,26.2,0.61,0,5.7,11.79,0.0855,2681,0.0291
42101020600,222,25.1,0,4.06,3.08,9.78,0.3041,7048,0.0086
42101020700,235,23,0,0,0.7,7.56,-0.0933,1543,0.0169
42101020800,120,26.6,0,0.99,3.14,9.4,0.01,2515,0.0051
42101020900,183,22.9,0,0.59,1.09,7.08,0.0539,3883,0.0171
42101021000,154,21,1.45,0,1.07,6.66,-0.0223,3121,0.0085
42101021100,142,20.1,0,2.88,1.15,9.7,0.0344,1785,0.0015
42101021200,144,19.8,0,2.5,0.86,8.4,0.044,2126,0.0124
42101021300,150,22.5,0,2.57,2.21,6.08,-0.0316,1490,0.0084
42101021400,79,26.4,0.32,2.88,2.57,6.4,-0.0467,2799,0.0088
42101021500,157,22.4,0,0,1.11,6.37,0.0146,803.6,0.0225
42101021600,134,24,0,3.3,0.5,7.34,-0.0333,1268,0.0219
